timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743515425721,123,GetDepartments,404,Not Found,SetGroupTestDepartement 1-57,text,false,"Test failed: text expected to contain /[
  {
    ""dept_no"": ""d009"",
    ""dept_name"": ""Customer Service""
  },
  {
    ""dept_no"": ""d005"",
    ""dept_name"": ""Development""
  },
  {
    ""dept_no"": ""d002"",
    ""dept_name"": ""Finance""
  },
  {
    ""dept_no"": ""d003"",
    ""dept_name"": ""Human Resources""
  },
  {
    ""dept_no"": ""d001"",
    ""dept_name"": ""Marketing""
  },
  {
    ""dept_no"": ""d004"",
    ""dept_name"": ""Production""
  },
  {
    ""dept_no"": ""d006"",
    ""dept_name"": ""Quality Management""
  },
  {
    ""dept_no"": ""d008"",
    ""dept_name"": ""Research""
  },
  {
    ""dept_no"": ""d007"",
    ""dept_name"": ""Sales""
  }
]/",154,156,63,63,http://192.168.1.95:8000/Departments,104,0,23
1743515425558,291,GetDepartments,404,Not Found,SetGroupTestDepartement 1-42,text,false,"Test failed: text expected to contain /[
  {
    ""dept_no"": ""d009"",
    ""dept_name"": ""Customer Service""
  },
  {
    ""dept_no"": ""d005"",
    ""dept_name"": ""Development""
  },
  {
    ""dept_no"": ""d002"",
    ""dept_name"": ""Finance""
  },
  {
    ""dept_no"": ""d003"",
    ""dept_name"": ""Human Resources""
  },
  {
    ""dept_no"": ""d001"",
    ""dept_name"": ""Marketing""
  },
  {
    ""dept_no"": ""d004"",
    ""dept_name"": ""Production""
  },
  {
    ""dept_no"": ""d006"",
    ""dept_name"": ""Quality Management""
  },
  {
    ""dept_no"": ""d008"",
    ""dept_name"": ""Research""
  },
  {
    ""dept_no"": ""d007"",
    ""dept_name"": ""Sales""
  }
]/",154,156,63,63,http://192.168.1.95:8000/Departments,291,0,218
1743515425758,91,GetDepartments,404,Not Found,SetGroupTestDepartement 1-52,text,false,"Test failed: text expected to contain /[
  {
    ""dept_no"": ""d009"",
    ""dept_name"": ""Customer Service""
  },
  {
    ""dept_no"": ""d005"",
    ""dept_name"": ""Development""
  },
  {
    ""dept_no"": ""d002"",
    ""dept_name"": ""Finance""
  },
  {
    ""dept_no"": ""d003"",
    ""dept_name"": ""Human Resources""
  },
  {
    ""dept_no"": ""d001"",
    ""dept_name"": ""Marketing""
  },
  {
    ""dept_no"": ""d004"",
    ""dept_name"": ""Production""
  },
  {
    ""dept_no"": ""d006"",
    ""dept_name"": ""Quality Management""
  },
  {
    ""dept_no"": ""d008"",
    ""dept_name"": ""Research""
  },
  {
    ""dept_no"": ""d007"",
    ""dept_name"": ""Sales""
  }
]/",154,156,63,63,http://192.168.1.95:8000/Departments,91,0,13
1743515425448,401,GetDepartments,404,Not Found,SetGroupTestDepartement 1-25,text,false,"Test failed: text expected to contain /[
  {
    ""dept_no"": ""d009"",
    ""dept_name"": ""Customer Service""
  },
  {
    ""dept_no"": ""d005"",
    ""dept_name"": ""Development""
  },
  {
    ""dept_no"": ""d002"",
    ""dept_name"": ""Finance""
  },
  {
    ""dept_no"": ""d003"",
    ""dept_name"": ""Human Resources""
  },
  {
    ""dept_no"": ""d001"",
    ""dept_name"": ""Marketing""
  },
  {
    ""dept_no"": ""d004"",
    ""dept_name"": ""Production""
  },
  {
    ""dept_no"": ""d006"",
    ""dept_name"": ""Quality Management""
  },
  {
    ""dept_no"": ""d008"",
    ""dept_name"": ""Research""
  },
  {
    ""dept_no"": ""d007"",
    ""dept_name"": ""Sales""
  }
]/",154,156,63,63,http://192.168.1.95:8000/Departments,401,0,324
1743515425601,249,GetDepartments,404,Not Found,SetGroupTestDepartement 1-47,text,false,"Test failed: text expected to contain /[
  {
    ""dept_no"": ""d009"",
    ""dept_name"": ""Customer Service""
  },
  {
    ""dept_no"": ""d005"",
    ""dept_name"": ""Development""
  },
  {
    ""dept_no"": ""d002"",
    ""dept_name"": ""Finance""
  },
  {
    ""dept_no"": ""d003"",
    ""dept_name"": ""Human Resources""
  },
  {
    ""dept_no"": ""d001"",
    ""dept_name"": ""Marketing""
  },
  {
    ""dept_no"": ""d004"",
    ""dept_name"": ""Production""
  },
  {
    ""dept_no"": ""d006"",
    ""dept_name"": ""Quality Management""
  },
  {
    ""dept_no"": ""d008"",
    ""dept_name"": ""Research""
  },
  {
    ""dept_no"": ""d007"",
    ""dept_name"": ""Sales""
  }
]/",154,156,63,63,http://192.168.1.95:8000/Departments,249,0,175
1743515425447,403,GetDepartments,404,Not Found,SetGroupTestDepartement 1-22,text,false,"Test failed: text expected to contain /[
  {
    ""dept_no"": ""d009"",
    ""dept_name"": ""Customer Service""
  },
  {
    ""dept_no"": ""d005"",
    ""dept_name"": ""Development""
  },
  {
    ""dept_no"": ""d002"",
    ""dept_name"": ""Finance""
  },
  {
    ""dept_no"": ""d003"",
    ""dept_name"": ""Human Resources""
  },
  {
    ""dept_no"": ""d001"",
    ""dept_name"": ""Marketing""
  },
  {
    ""dept_no"": ""d004"",
    ""dept_name"": ""Production""
  },
  {
    ""dept_no"": ""d006"",
    ""dept_name"": ""Quality Management""
  },
  {
    ""dept_no"": ""d008"",
    ""dept_name"": ""Research""
  },
  {
    ""dept_no"": ""d007"",
    ""dept_name"": ""Sales""
  }
]/",154,156,63,63,http://192.168.1.95:8000/Departments,403,0,316
1743515425751,100,GetDepartments,404,Not Found,SetGroupTestDepartement 1-58,text,false,"Test failed: text expected to contain /[
  {
    ""dept_no"": ""d009"",
    ""dept_name"": ""Customer Service""
  },
  {
    ""dept_no"": ""d005"",
    ""dept_name"": ""Development""
  },
  {
    ""dept_no"": ""d002"",
    ""dept_name"": ""Finance""
  },
  {
    ""dept_no"": ""d003"",
    ""dept_name"": ""Human Resources""
  },
  {
    ""dept_no"": ""d001"",
    ""dept_name"": ""Marketing""
  },
  {
    ""dept_no"": ""d004"",
    ""dept_name"": ""Production""
  },
  {
    ""dept_no"": ""d006"",
    ""dept_name"": ""Quality Management""
  },
  {
    ""dept_no"": ""d008"",
    ""dept_name"": ""Research""
  },
  {
    ""dept_no"": ""d007"",
    ""dept_name"": ""Sales""
  }
]/",154,156,63,63,http://192.168.1.95:8000/Departments,100,0,19
1743515425459,392,GetDepartments,404,Not Found,SetGroupTestDepartement 1-30,text,false,"Test failed: text expected to contain /[
  {
    ""dept_no"": ""d009"",
    ""dept_name"": ""Customer Service""
  },
  {
    ""dept_no"": ""d005"",
    ""dept_name"": ""Development""
  },
  {
    ""dept_no"": ""d002"",
    ""dept_name"": ""Finance""
  },
  {
    ""dept_no"": ""d003"",
    ""dept_name"": ""Human Resources""
  },
  {
    ""dept_no"": ""d001"",
    ""dept_name"": ""Marketing""
  },
  {
    ""dept_no"": ""d004"",
    ""dept_name"": ""Production""
  },
  {
    ""dept_no"": ""d006"",
    ""dept_name"": ""Quality Management""
  },
  {
    ""dept_no"": ""d008"",
    ""dept_name"": ""Research""
  },
  {
    ""dept_no"": ""d007"",
    ""dept_name"": ""Sales""
  }
]/",154,156,63,63,http://192.168.1.95:8000/Departments,391,0,299
1743515425448,403,GetDepartments,404,Not Found,SetGroupTestDepartement 1-6,text,false,"Test failed: text expected to contain /[
  {
    ""dept_no"": ""d009"",
    ""dept_name"": ""Customer Service""
  },
  {
    ""dept_no"": ""d005"",
    ""dept_name"": ""Development""
  },
  {
    ""dept_no"": ""d002"",
    ""dept_name"": ""Finance""
  },
  {
    ""dept_no"": ""d003"",
    ""dept_name"": ""Human Resources""
  },
  {
    ""dept_no"": ""d001"",
    ""dept_name"": ""Marketing""
  },
  {
    ""dept_no"": ""d004"",
    ""dept_name"": ""Production""
  },
  {
    ""dept_no"": ""d006"",
    ""dept_name"": ""Quality Management""
  },
  {
    ""dept_no"": ""d008"",
    ""dept_name"": ""Research""
  },
  {
    ""dept_no"": ""d007"",
    ""dept_name"": ""Sales""
  }
]/",154,156,63,63,http://192.168.1.95:8000/Departments,403,0,311
1743515425448,403,GetDepartments,404,Not Found,SetGroupTestDepartement 1-8,text,false,"Test failed: text expected to contain /[
  {
    ""dept_no"": ""d009"",
    ""dept_name"": ""Customer Service""
  },
  {
    ""dept_no"": ""d005"",
    ""dept_name"": ""Development""
  },
  {
    ""dept_no"": ""d002"",
    ""dept_name"": ""Finance""
  },
  {
    ""dept_no"": ""d003"",
    ""dept_name"": ""Human Resources""
  },
  {
    ""dept_no"": ""d001"",
    ""dept_name"": ""Marketing""
  },
  {
    ""dept_no"": ""d004"",
    ""dept_name"": ""Production""
  },
  {
    ""dept_no"": ""d006"",
    ""dept_name"": ""Quality Management""
  },
  {
    ""dept_no"": ""d008"",
    ""dept_name"": ""Research""
  },
  {
    ""dept_no"": ""d007"",
    ""dept_name"": ""Sales""
  }
]/",154,156,63,63,http://192.168.1.95:8000/Departments,403,0,311
